date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:20:00	76/76	---MCZ	200	added ('OK')	text/plain	date:Fri,%2010%20May%202024%2003:20:01%20GMT	https://www.studiowebsite.com.br/robots.txt		(from )
00:20:01	131562/131562	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20May%202024%2003:20:02%20GMT	https://www.studiowebsite.com.br/	C:/My%20Web%20Sites/Allsurge%20Sites/www.studiowebsite.com.br/index.html	(from )
00:20:02	86307/86307	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Dec%202023%2021:08:31%20GMT	https://www.studiowebsite.com.br/wp-content/uploads/2023/12/logo_studiowebsite_02.png	C:/My%20Web%20Sites/Allsurge%20Sites/www.studiowebsite.com.br/wp-content/uploads/2023/12/logo_studiowebsite_02.png	(from https://www.studiowebsite.com.br/)
00:20:02	209805/209805	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Apr%202024%2012:33:54%20GMT	https://www.studiowebsite.com.br/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main.css?ver=2.6.5	C:/My%20Web%20Sites/Allsurge%20Sites/www.studiowebsite.com.br/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main6770.css	(from https://www.studiowebsite.com.br/)
00:20:02	42446/42446	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Apr%202024%2014:12:05%20GMT	https://www.studiowebsite.com.br/wp-content/plugins/whatsapp-for-wordpress/assets/dist/css/style.css?ver=6.5.3	C:/My%20Web%20Sites/Allsurge%20Sites/www.studiowebsite.com.br/wp-content/plugins/whatsapp-for-wordpress/assets/dist/css/styleef10.css	(from https://www.studiowebsite.com.br/)
00:20:02	118945/118945	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Apr%202024%2012:31:38%20GMT	https://www.studiowebsite.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.21.3	C:/My%20Web%20Sites/Allsurge%20Sites/www.studiowebsite.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min11d9.css	(from https://www.studiowebsite.com.br/)
00:20:02	16471/16471	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Apr%202024%2012:32:33%20GMT	https://www.studiowebsite.com.br/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/Allsurge%20Sites/www.studiowebsite.com.br/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://www.studiowebsite.com.br/)
00:20:03	15941/15941	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Apr%202024%2012:29:09%20GMT	https://www.studiowebsite.com.br/wp-content/uploads/elementor/css/post-10.css?ver=1714220949	C:/My%20Web%20Sites/Allsurge%20Sites/www.studiowebsite.com.br/wp-content/uploads/elementor/css/post-10493a.css	(from https://www.studiowebsite.com.br/)
00:20:03	136570/136570	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Apr%202024%2011:54:27%20GMT	https://www.studiowebsite.com.br/wp-content/plugins/powerpack-lite-for-elementor/assets/css/min/frontend.min.css?ver=2.7.19	C:/My%20Web%20Sites/Allsurge%20Sites/www.studiowebsite.com.br/wp-content/plugins/powerpack-lite-for-elementor/assets/css/min/frontend.min2603.css	(from https://www.studiowebsite.com.br/)
00:20:03	1306/1306	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%224b9696c24b39fb59dea1860c6f888fe6-br%22	https://www.studiowebsite.com.br/feed/	C:/My%20Web%20Sites/Allsurge%20Sites/www.studiowebsite.com.br/feed/index.html	(from https://www.studiowebsite.com.br/)
